"group_id","horizon","frequency","instrument","weight"
"h001_u0.05_a+0.00",1,0.05,0,1
"h001_u0.10_a+0.00",1,0.1,0,1
"h001_u0.10_a+0.50",1,0.1,0.5,1
"h001_u0.20_a+0.00",1,0.2,0,1
"h001_u0.35_a+0.00",1,0.35,0,1
"h001_u0.50_a+0.00",1,0.5,0,1
"h001_u0.50_a+0.50",1,0.5,0.5,1
"h001_u0.75_a+0.00",1,0.75,0,1
"h001_u1.00_a+0.00",1,1,0,1
"h001_u1.00_a+0.50",1,1,0.5,1
"h001_u1.50_a+0.00",1,1.5,0,1
"h001_u2.50_a+0.00",1,2.5,0,1
"h001_u2.50_a+0.50",1,2.5,0.5,1
"h001_u4.00_a+0.00",1,4,0,1
"h002_u0.20_a+0.00",2,0.2,0,0.707106781186547
"h002_u0.20_a+0.50",2,0.2,0.5,0.707106781186547
"h002_u0.35_a+0.00",2,0.35,0,0.707106781186547
"h002_u0.50_a+0.00",2,0.5,0,0.707106781186547
"h002_u0.75_a+0.00",2,0.75,0,0.707106781186547
"h002_u0.75_a+0.50",2,0.75,0.5,0.707106781186547
"h002_u1.00_a+0.00",2,1,0,0.707106781186547
"h002_u1.50_a+0.00",2,1.5,0,0.707106781186547
"h002_u2.50_a+0.00",2,2.5,0,0.707106781186547
"h005_u0.20_a+0.00",5,0.2,0,0.447213595499958
"h005_u0.50_a+0.00",5,0.5,0,0.447213595499958
"h005_u0.50_a+0.50",5,0.5,0.5,0.447213595499958
"h005_u1.00_a+0.00",5,1,0,0.447213595499958
"h005_u2.50_a+0.00",5,2.5,0,0.447213595499958
"h010_u0.20_a+0.00",10,0.2,0,0.316227766016838
"h015_u0.20_a+0.00",15,0.2,0,0.258198889747161
"h030_u0.35_a+0.00",30,0.35,0,0.182574185835055
"h060_u0.35_a+0.00",60,0.35,0,0.129099444873581
"h120_u0.20_a+0.00",120,0.2,0,0.0912870929175277
"h240_u0.20_a+0.00",240,0.2,0,0.0645497224367903
"h630_u0.05_a+0.50",630,0.05,0.5,0.0398409536444798
"h630_u0.10_a+0.00",630,0.1,0,0.0398409536444798
