pair_id,y_generic,x_generic
CO_CL,CO1,CL1
CO_HO,CO1,HO1
CO_XB,CO1,XB1
CO_NG,CO1,NG1
CO_QS,CO1,QS1
CO_EN,CO1,EN1
CO_OQA,CO1,OQA1
CO_FN,CO1,FN1
CO_TZT,CO1,TZT1
CO_BIT,CO1,BIT1
CO_U6,CO1,U61
CO_ZS,CO1,ZS1
CL_HO,CL1,HO1
CL_XB,CL1,XB1
CL_NG,CL1,NG1
CL_QS,CL1,QS1
CL_EN,CL1,EN1
CL_OQA,CL1,OQA1
CL_FN,CL1,FN1
CL_TZT,CL1,TZT1
CL_BIT,CL1,BIT1
CL_U6,CL1,U61
CL_ZS,CL1,ZS1
HO_XB,HO1,XB1
HO_NG,HO1,NG1
HO_QS,HO1,QS1
HO_EN,HO1,EN1
HO_OQA,HO1,OQA1
HO_FN,HO1,FN1
HO_TZT,HO1,TZT1
HO_BIT,HO1,BIT1
HO_U6,HO1,U61
HO_ZS,HO1,ZS1
XB_NG,XB1,NG1
XB_QS,XB1,QS1
XB_EN,XB1,EN1
XB_OQA,XB1,OQA1
XB_FN,XB1,FN1
XB_TZT,XB1,TZT1
XB_BIT,XB1,BIT1
XB_U6,XB1,U61
XB_ZS,XB1,ZS1
NG_QS,NG1,QS1
NG_EN,NG1,EN1
NG_OQA,NG1,OQA1
NG_FN,NG1,FN1
NG_TZT,NG1,TZT1
NG_BIT,NG1,BIT1
NG_U6,NG1,U61
NG_ZS,NG1,ZS1
QS_EN,QS1,EN1
QS_OQA,QS1,OQA1
QS_FN,QS1,FN1
QS_TZT,QS1,TZT1
QS_BIT,QS1,BIT1
QS_U6,QS1,U61
QS_ZS,QS1,ZS1
EN_OQA,EN1,OQA1
EN_FN,EN1,FN1
EN_TZT,EN1,TZT1
EN_BIT,EN1,BIT1
EN_U6,EN1,U61
EN_ZS,EN1,ZS1
OQA_FN,OQA1,FN1
OQA_TZT,OQA1,TZT1
OQA_BIT,OQA1,BIT1
OQA_U6,OQA1,U61
OQA_ZS,OQA1,ZS1
FN_TZT,FN1,TZT1
FN_BIT,FN1,BIT1
FN_U6,FN1,U61
FN_ZS,FN1,ZS1
TZT_BIT,TZT1,BIT1
TZT_U6,TZT1,U61
TZT_ZS,TZT1,ZS1
BIT_U6,BIT1,U61
BIT_ZS,BIT1,ZS1
U6_ZS,U61,ZS1
